ID,PROMPT,X,Y
34573,red car parked,255,160
34573,red car parked,228,106
34573,red car parked,302,81
34573,red car parked,375,66
34573,red car parked,411,51
46954,white car in lower left corner foreground,258,161
46954,white car in lower left corner foreground,178,166
46954,white car in lower left corner foreground,173,184
46954,white car in lower left corner foreground,197,204
46954,white car in lower left corner foreground,162,203
46954,white car in lower left corner foreground,92,216
46954,white car in lower left corner foreground,76,232
46954,white car in lower left corner foreground,76,239
15021,black car behind red car,254,162
15021,black car behind red car,259,191
15021,black car behind red car,288,247
15021,black car behind red car,302,267
15021,black car behind red car,309,274
15021,black car behind red car,317,273
15021,black car behind red car,313,269
6987,white vehicle lower left corner,256,161
6987,white vehicle lower left corner,261,196
6987,white vehicle lower left corner,234,197
6987,white vehicle lower left corner,273,238
6987,white vehicle lower left corner,122,261
42880,right car dark,254,160
42880,right car dark,254,182
42880,right car dark,243,203
42880,right car dark,383,247
42880,right car dark,457,267
49168,yellow car,256,160
49168,yellow car,266,127
49168,yellow car,381,137
49168,yellow car,416,141
41720,white car in front of bus,259,161
41720,white car in front of bus,205,162
41720,white car in front of bus,271,191
41720,white car in front of bus,352,211
41720,white car in front of bus,407,216
41720,white car in front of bus,421,214
41720,white car in front of bus,380,214
41720,white car in front of bus,351,213
47953,red pillow on left,260,163
47953,red pillow on left,229,133
47953,red pillow on left,235,139
47953,red pillow on left,252,159
47953,red pillow on left,168,167
47953,red pillow on left,79,167
43376,couch in front of window,256,160
43376,couch in front of window,238,161
43376,couch in front of window,244,166
43376,couch in front of window,240,171
43376,couch in front of window,255,182
43376,couch in front of window,283,173
43376,couch in front of window,276,160
43376,couch in front of window,274,160
13769,couch lower left corner,255,160
13769,couch lower left corner,246,156
13769,couch lower left corner,259,177
13769,couch lower left corner,189,247
13769,couch lower left corner,125,276
24150,tan seat cushion behind computer,257,161
24150,tan seat cushion behind computer,256,162
24150,tan seat cushion behind computer,240,154
24150,tan seat cushion behind computer,252,152
24150,tan seat cushion behind computer,241,77
24150,tan seat cushion behind computer,234,50
24150,tan seat cushion behind computer,237,40
11023,couch on left,256,159
11023,couch on left,188,146
11023,couch on left,94,138
11023,couch on left,78,141
18170,couch to left of old man,256,161
18170,couch to left of old man,232,156
18170,couch to left of old man,245,165
18170,couch to left of old man,254,179
18170,couch to left of old man,146,215
18170,couch to left of old man,100,237
18170,couch to left of old man,97,240
18170,couch to left of old man,98,242
26844,green truck on left front of row,255,160
26844,green truck on left front of row,247,157
26844,green truck on left front of row,246,212
26844,green truck on left front of row,239,231
26844,green truck on left front of row,107,213
26844,green truck on left front of row,72,222
26844,green truck on left front of row,73,220
26844,green truck on left front of row,69,220
26844,green truck on left front of row,69,223
13450,right back train behind green poles,257,161
13450,right back train behind green poles,242,146
13450,right back train behind green poles,232,145
13450,right back train behind green poles,247,148
13450,right back train behind green poles,266,151
13450,right back train behind green poles,299,150
13450,right back train behind green poles,316,150
13450,right back train behind green poles,353,145
4519,second bus front,256,160
4519,second bus front,256,139
4519,second bus front,276,141
4519,second bus front,293,146
4519,second bus front,243,154
25205,bus on right in back,255,160
25205,bus on right in back,254,165
25205,bus on right in back,276,159
25205,bus on right in back,391,158
25205,bus on right in back,428,151
25205,bus on right in back,434,146
25205,bus on right in back,435,148
31560,bus behind and left of main one,256,160
31560,bus behind and left of main one,253,160
31560,bus behind and left of main one,246,156
31560,bus behind and left of main one,230,149
31560,bus behind and left of main one,189,154
31560,bus behind and left of main one,104,167
31560,bus behind and left of main one,82,170
31560,bus behind and left of main one,83,171
31560,bus behind and left of main one,79,175
9233,bus on the right,257,161
9233,bus on the right,266,162
9233,bus on the right,289,167
9233,bus on the right,318,166
9233,bus on the right,438,171
9233,bus on the right,474,169
13520,the blue bus is cool,257,160
13520,the blue bus is cool,232,152
13520,the blue bus is cool,212,161
13520,the blue bus is cool,198,169
13520,the blue bus is cool,193,172
13520,the blue bus is cool,185,171
13520,the blue bus is cool,176,169
13520,the blue bus is cool,179,169
21728,full elephant on left,258,162
21728,full elephant on left,220,175
21728,full elephant on left,248,188
21728,full elephant on left,247,199
21728,full elephant on left,212,204
21728,full elephant on left,182,210
2939,elephant just to right of baby,257,161
2939,elephant just to right of baby,216,143
2939,elephant just to right of baby,280,148
2939,elephant just to right of baby,325,148
2939,elephant just to right of baby,351,150
2939,elephant just to right of baby,354,150
2939,elephant just to right of baby,349,147
2939,elephant just to right of baby,371,150
5340,middle back of elephant,256,162
5340,middle back of elephant,210,153
5340,middle back of elephant,206,151
5340,middle back of elephant,215,150
5340,middle back of elephant,230,149
5340,middle back of elephant,242,175
5340,middle back of elephant,243,186
18264,the one furthest right in water,256,161
18264,the one furthest right in water,253,153
18264,the one furthest right in water,282,151
18264,the one furthest right in water,318,150
18264,the one furthest right in water,321,156
18264,the one furthest right in water,352,161
18264,the one furthest right in water,357,163
18264,the one furthest right in water,369,165
1434,elephant on right thats hidden,258,160
1434,elephant on right thats hidden,232,163
1434,elephant on right thats hidden,275,171
1434,elephant on right thats hidden,330,179
1434,elephant on right thats hidden,365,179
1434,elephant on right thats hidden,365,180
1434,elephant on right thats hidden,370,182
9629,left elephants ear,257,161
9629,left elephants ear,274,174
9629,left elephants ear,286,175
9629,left elephants ear,276,180
9629,left elephants ear,236,185
9629,left elephants ear,234,188
48437,on right top in bowl,256,160
48437,on right top in bowl,257,159
48437,on right top in bowl,258,151
48437,on right top in bowl,268,101
48437,on right top in bowl,272,75
48437,on right top in bowl,293,76
48437,on right top in bowl,298,87
48437,on right top in bowl,342,114
48437,on right top in bowl,345,123
44227,orange in middle,257,161
44227,orange in middle,205,186
44227,orange in middle,161,202
44227,orange in middle,163,204
44227,orange in middle,177,214
44227,orange in middle,181,217
1273,half grapefruit on right,257,157
1273,half grapefruit on right,275,124
1273,half grapefruit on right,286,113
1273,half grapefruit on right,287,109
1273,half grapefruit on right,311,124
1273,half grapefruit on right,337,163
19127,very bottom orange,257,160
19127,very bottom orange,249,151
19127,very bottom orange,258,149
19127,very bottom orange,229,188
19127,very bottom orange,219,228
21926,cup in the upper right corner,256,160
21926,cup in the upper right corner,230,161
21926,cup in the upper right corner,229,154
21926,cup in the upper right corner,242,145
21926,cup in the upper right corner,247,131
21926,cup in the upper right corner,248,105
21926,cup in the upper right corner,274,84
21926,cup in the upper right corner,420,59
21926,cup in the upper right corner,427,54
6845,glass at right top,256,161
6845,glass at right top,223,180
6845,glass at right top,222,182
6845,glass at right top,235,186
6845,glass at right top,241,185
6845,glass at right top,273,172
6845,glass at right top,331,97
6845,glass at right top,330,50
6845,glass at right top,348,43
6845,glass at right top,354,45
5700,coffee on left,256,159
5700,coffee on left,264,150
5700,coffee on left,312,68
5700,coffee on left,144,56
5700,coffee on left,110,64
7546,a glass on a table,259,160
7546,a glass on a table,226,162
7546,a glass on a table,228,155
7546,a glass on a table,220,111
7546,a glass on a table,282,63
7546,a glass on a table,303,37
7546,a glass on a table,300,29
7546,a glass on a table,321,35
10047,left coffee cup,257,161
10047,left coffee cup,238,140
10047,left coffee cup,232,142
10047,left coffee cup,237,161
10047,left coffee cup,166,233
20495,cup of tea on right,254,161
20495,cup of tea on right,201,130
20495,cup of tea on right,172,118
20495,cup of tea on right,165,115
20495,cup of tea on right,336,116
20495,cup of tea on right,371,113
20495,cup of tea on right,390,113
11989,middle row right one,255,160
11989,middle row right one,213,144
11989,middle row right one,215,138
11989,middle row right one,209,141
11989,middle row right one,215,144
11989,middle row right one,363,141
11990,donut on far left of middle row,255,160
11990,donut on far left of middle row,223,143
11990,donut on far left of middle row,228,134
11990,donut on far left of middle row,246,140
11990,donut on far left of middle row,248,145
11990,donut on far left of middle row,200,142
11990,donut on far left of middle row,132,141
11990,donut on far left of middle row,119,141
11990,donut on far left of middle row,104,144
6873,bottom row of donuts second from left,257,161
6873,bottom row of donuts second from left,206,150
6873,bottom row of donuts second from left,192,156
6873,bottom row of donuts second from left,232,181
6873,bottom row of donuts second from left,270,207
6873,bottom row of donuts second from left,268,211
6873,bottom row of donuts second from left,258,218
6873,bottom row of donuts second from left,222,229
6873,bottom row of donuts second from left,185,242
11988,middle row second from right,255,160
11988,middle row second from right,213,144
11988,middle row second from right,215,138
11988,middle row second from right,270,137
11988,middle row second from right,271,138
5215,bottom to right white donut,256,161
5215,bottom to right white donut,239,150
5215,bottom to right white donut,230,149
5215,bottom to right white donut,269,172
5215,bottom to right white donut,311,190
5215,bottom to right white donut,348,205
5215,bottom to right white donut,455,235
11986,top right corner doughnut,255,160
11986,top right corner doughnut,227,144
11986,top right corner doughnut,255,103
11986,top right corner doughnut,295,53
11986,top right corner doughnut,376,35
11986,top right corner doughnut,407,39
5670,lamb on the left,257,161
5670,lamb on the left,228,131
5670,lamb on the left,220,115
5670,lamb on the left,220,106
5670,lamb on the left,176,94
5670,lamb on the left,137,91
12399,lamb with black head front,257,161
12399,lamb with black head front,224,148
12399,lamb with black head front,234,145
12399,lamb with black head front,244,139
12399,lamb with black head front,255,138
12399,lamb with black head front,285,154
12399,lamb with black head front,291,175
12399,lamb with black head front,286,179
47452,lower goat right front,257,162
47452,lower goat right front,237,160
47452,lower goat right front,288,170
47452,lower goat right front,379,199
47452,lower goat right front,386,204
47452,lower goat right front,392,227
17828,middle bowl on far left,256,160
17828,middle bowl on far left,237,146
17828,middle bowl on far left,245,137
17828,middle bowl on far left,259,129
17828,middle bowl on far left,253,125
17828,middle bowl on far left,142,141
746,upper right bowl,263,163
746,upper right bowl,198,165
746,upper right bowl,201,139
746,upper right bowl,227,100
746,upper right bowl,336,67
746,upper right bowl,361,51
33831,rice dish on right,258,161
33831,rice dish on right,235,155
33831,rice dish on right,218,165
33831,rice dish on right,181,182
33831,rice dish on right,236,152
33831,rice dish on right,399,80
17829,bowl above the square bowl on right,256,160
17829,bowl above the square bowl on right,248,141
17829,bowl above the square bowl on right,251,138
17829,bowl above the square bowl on right,252,138
17829,bowl above the square bowl on right,254,122
17829,bowl above the square bowl on right,246,121
17829,bowl above the square bowl on right,273,117
17829,bowl above the square bowl on right,337,102
17829,bowl above the square bowl on right,354,67
40288,bowl back right,256,160
40288,bowl back right,239,119
40288,bowl back right,236,95
40288,bowl back right,225,74
40288,bowl back right,349,72
13340,first container in middle row on left,256,161
13340,first container in middle row on left,212,167
13340,first container in middle row on left,230,175
13340,first container in middle row on left,266,183
13340,first container in middle row on left,260,172
13340,first container in middle row on left,247,171
13340,first container in middle row on left,238,173
13340,first container in middle row on left,191,181
13340,first container in middle row on left,120,205
745,top left bowl,263,163
745,top left bowl,198,167
745,top left bowl,191,124
745,top left bowl,165,84
745,top left bowl,170,74
745,top left bowl,153,59
745,top left bowl,159,61
5143,muffin behind big one in front,256,158
5143,muffin behind big one in front,247,127
5143,muffin behind big one in front,269,125
5143,muffin behind big one in front,269,128
5143,muffin behind big one in front,206,41
45681,first row first cake from right to left,257,161
45681,first row first cake from right to left,217,158
45681,first row first cake from right to left,254,175
45681,first row first cake from right to left,268,197
45681,first row first cake from right to left,306,206
45681,first row first cake from right to left,308,205
45681,first row first cake from right to left,406,213
45681,first row first cake from right to left,429,214
45681,first row first cake from right to left,435,217
45681,first row first cake from right to left,437,219
19744,chocolate cake,255,160
19744,chocolate cake,198,127
19744,chocolate cake,177,122
5144,muffin in top right,256,158
5144,muffin in top right,247,127
5144,muffin in top right,249,115
5144,muffin in top right,254,101
5144,muffin in top right,242,72
5144,muffin in top right,420,57
5144,muffin in top right,425,57
5144,muffin in top right,425,57
5144,muffin in top right,426,56
5144,muffin in top right,425,56
5144,muffin in top right,425,56
10768,cow at top right,257,161
10768,cow at top right,270,137
10768,cow at top right,275,130
10768,cow at top right,299,116
10768,cow at top right,393,71
10768,cow at top right,423,55
11212,bull on the left,258,162
11212,bull on the left,193,154
11212,bull on the left,162,145
11212,bull on the left,112,139
11212,bull on the left,98,135
11212,bull on the left,93,131
46501,orange vehicle on right,257,161
46501,orange vehicle on right,236,149
46501,orange vehicle on right,239,152
46501,orange vehicle on right,278,154
46501,orange vehicle on right,292,154
46501,orange vehicle on right,327,153
46501,orange vehicle on right,329,152
24435,truck on left front,257,160
24435,truck on left front,224,190
24435,truck on left front,215,198
24435,truck on left front,177,203
24435,truck on left front,133,207
24435,truck on left front,108,209
31619,right most truck,256,161
31619,right most truck,235,165
31619,right most truck,239,159
31619,right most truck,327,171
31619,right most truck,404,178
37712,black suitcase near to sidewalk and car,256,159
37712,black suitcase near to sidewalk and car,220,162
37712,black suitcase near to sidewalk and car,225,168
37712,black suitcase near to sidewalk and car,217,181
37712,black suitcase near to sidewalk and car,220,186
37712,black suitcase near to sidewalk and car,244,185
37712,black suitcase near to sidewalk and car,235,186
37712,black suitcase near to sidewalk and car,226,184
37712,black suitcase near to sidewalk and car,235,189
37712,black suitcase near to sidewalk and car,239,191
3130,the red container in the blue cart,256,159
3130,the red container in the blue cart,255,132
3130,the red container in the blue cart,242,113
3130,the red container in the blue cart,167,102
3130,the red container in the blue cart,113,98
3130,the red container in the blue cart,106,102
3130,the red container in the blue cart,111,102
3130,the red container in the blue cart,105,104
23882,suitcase behind the zebra bag,256,159
23882,suitcase behind the zebra bag,242,129
23882,suitcase behind the zebra bag,204,126
23882,suitcase behind the zebra bag,196,123
23882,suitcase behind the zebra bag,189,126
23882,suitcase behind the zebra bag,185,119
23882,suitcase behind the zebra bag,185,111
23182,broccoli pieces on far right of plate,257,161
23182,broccoli pieces on far right of plate,243,152
23182,broccoli pieces on far right of plate,242,145
23182,broccoli pieces on far right of plate,274,147
23182,broccoli pieces on far right of plate,280,140
23182,broccoli pieces on far right of plate,378,124
23182,broccoli pieces on far right of plate,402,112
23182,broccoli pieces on far right of plate,409,110
23182,broccoli pieces on far right of plate,411,107
5154,piece of broccoli at top of plate,258,160
5154,piece of broccoli at top of plate,231,162
5154,piece of broccoli at top of plate,224,165
5154,piece of broccoli at top of plate,258,168
5154,piece of broccoli at top of plate,266,164
5154,piece of broccoli at top of plate,259,151
5154,piece of broccoli at top of plate,254,130
5154,piece of broccoli at top of plate,259,98
5154,piece of broccoli at top of plate,258,70
5154,piece of broccoli at top of plate,252,74
5154,piece of broccoli at top of plate,235,47
26006,broccoli floret far right on plate,258,160
26006,broccoli floret far right on plate,245,170
26006,broccoli floret far right on plate,236,179
26006,broccoli floret far right on plate,226,174
26006,broccoli floret far right on plate,233,181
26006,broccoli floret far right on plate,263,175
26006,broccoli floret far right on plate,269,180
26006,broccoli floret far right on plate,309,166
26006,broccoli floret far right on plate,326,168
26006,broccoli floret far right on plate,388,153
26006,broccoli floret far right on plate,394,155
11191,top left broccoli,257,160
11191,top left broccoli,256,134
11191,top left broccoli,296,90
11191,top left broccoli,288,52
11191,top left broccoli,150,49
7240,the top right corner blur,257,160
7240,the top right corner blur,222,135
7240,the top right corner blur,219,110
7240,the top right corner blur,236,89
7240,the top right corner blur,269,55
7240,the top right corner blur,307,51
7240,the top right corner blur,315,38
7240,the top right corner blur,350,42
23583,left blue and red chair bottom left,256,160
23583,left blue and red chair bottom left,273,163
23583,left blue and red chair bottom left,288,162
23583,left blue and red chair bottom left,227,152
23583,left blue and red chair bottom left,177,146
23583,left blue and red chair bottom left,114,155
23583,left blue and red chair bottom left,76,177
23583,left blue and red chair bottom left,77,212
23583,left blue and red chair bottom left,78,228
23583,left blue and red chair bottom left,79,230
16478,dark green chair,258,160
16478,dark green chair,215,171
16478,dark green chair,194,198
16478,dark green chair,195,211
16478,dark green chair,197,218
35148,bottom right couch brown,257,160
35148,bottom right couch brown,226,158
35148,bottom right couch brown,287,214
35148,bottom right couch brown,422,252
7625,white chair on left foreground,257,159
7625,white chair on left foreground,196,157
7625,white chair on left foreground,228,168
7625,white chair on left foreground,263,194
7625,white chair on left foreground,237,178
7625,white chair on left foreground,206,193
7625,white chair on left foreground,140,203
7625,white chair on left foreground,135,210
38111,empty gray chair with light wood,257,161
38111,empty gray chair with light wood,250,148
38111,empty gray chair with light wood,262,157
38111,empty gray chair with light wood,246,173
38111,empty gray chair with light wood,237,196
38111,empty gray chair with light wood,246,209
38111,empty gray chair with light wood,230,214
38111,empty gray chair with light wood,204,225
38111,empty gray chair with light wood,190,234
13851,leather chair on right,255,161
13851,leather chair on right,257,167
13851,leather chair on right,253,178
13851,leather chair on right,278,193
13851,leather chair on right,307,203
13851,leather chair on right,422,235
13851,leather chair on right,427,243
37838,white seat cushion behind guy,256,159
37838,white seat cushion behind guy,262,143
37838,white seat cushion behind guy,240,142
37838,white seat cushion behind guy,247,140
37838,white seat cushion behind guy,268,146
37838,white seat cushion behind guy,260,157
37838,white seat cushion behind guy,199,173
37838,white seat cushion behind guy,178,182
8368,woman in between bride and groom,257,160
8368,woman in between bride and groom,235,107
8368,woman in between bride and groom,239,99
8368,woman in between bride and groom,341,111
8368,woman in between bride and groom,356,115
8368,woman in between bride and groom,355,117
8368,woman in between bride and groom,352,119
8368,woman in between bride and groom,345,128
11102,guy in yellow behind ball,259,158
11102,guy in yellow behind ball,281,130
11102,guy in yellow behind ball,282,123
11102,guy in yellow behind ball,399,131
11102,guy in yellow behind ball,367,108
11102,guy in yellow behind ball,330,114
11102,guy in yellow behind ball,328,118
30735,red on far left can barely see,256,159
30735,red on far left can barely see,245,135
30735,red on far left can barely see,239,122
30735,red on far left can barely see,305,134
30735,red on far left can barely see,276,146
30735,red on far left can barely see,267,181
30735,red on far left can barely see,209,201
30735,red on far left can barely see,114,243
29449,guy on right,255,158
29449,guy on right,188,90
29449,guy on right,155,66
29449,guy on right,141,64
29449,guy on right,358,72
8700,person out of view left,270,156
8700,person out of view left,310,148
8700,person out of view left,311,143
8700,person out of view left,335,150
8700,person out of view left,118,185
8700,person out of view left,51,183
38270,monitor on right,257,160
38270,monitor on right,247,162
38270,monitor on right,261,163
38270,monitor on right,340,169
38270,monitor on right,400,161
25889,monitor on left sitting on top of stand,255,160
25889,monitor on left sitting on top of stand,246,153
25889,monitor on left sitting on top of stand,252,147
25889,monitor on left sitting on top of stand,259,133
25889,monitor on left sitting on top of stand,245,114
25889,monitor on left sitting on top of stand,138,102
25889,monitor on left sitting on top of stand,101,87
25889,monitor on left sitting on top of stand,97,82
25889,monitor on left sitting on top of stand,97,81
25889,monitor on left sitting on top of stand,97,77
15975,small screen in middle,256,161
15975,small screen in middle,244,183
15975,small screen in middle,227,189
15975,small screen in middle,236,198
15975,small screen in middle,229,216
15975,small screen in middle,242,229
8352,monitor upper right corner,258,160
8352,monitor upper right corner,221,159
8352,monitor upper right corner,268,109
8352,monitor upper right corner,270,85
8352,monitor upper right corner,321,55
8352,monitor upper right corner,391,38
8352,monitor upper right corner,386,40
15976,screen on left,256,161
15976,screen on left,201,151
15976,screen on left,202,146
15976,screen on left,180,150
15976,screen on left,121,155
15976,screen on left,110,167
16241,tv in center stacked on another tv,256,161
16241,tv in center stacked on another tv,227,138
16241,tv in center stacked on another tv,226,142
16241,tv in center stacked on another tv,243,168
16241,tv in center stacked on another tv,252,165
16241,tv in center stacked on another tv,253,168
16241,tv in center stacked on another tv,255,180
16241,tv in center stacked on another tv,256,153
16241,tv in center stacked on another tv,255,149
16241,tv in center stacked on another tv,249,137
16241,tv in center stacked on another tv,251,137
44428,sandwich left top,255,160
44428,sandwich left top,279,151
44428,sandwich left top,292,147
44428,sandwich left top,292,112
44428,sandwich left top,146,85
44428,sandwich left top,140,83
46856,sandwich on the right,256,160
46856,sandwich on the right,347,102
34939,the top piece of bread,257,161
34939,the top piece of bread,228,170
34939,the top piece of bread,224,173
34939,the top piece of bread,247,171
34939,the top piece of bread,260,164
34939,the top piece of bread,274,157
34939,the top piece of bread,251,147
34939,the top piece of bread,256,147
44427,sandwich on the farthest left side,255,160
44427,sandwich on the farthest left side,279,151
44427,sandwich on the farthest left side,300,141
44427,sandwich on the farthest left side,298,143
44427,sandwich on the farthest left side,301,129
44427,sandwich on the farthest left side,250,96
44427,sandwich on the farthest left side,170,58
44427,sandwich on the farthest left side,102,94
46777,farthest left half of sandwich,257,161
46777,farthest left half of sandwich,217,139
46777,farthest left half of sandwich,255,122
46777,farthest left half of sandwich,226,99
46777,farthest left half of sandwich,183,71
46777,farthest left half of sandwich,129,97
46777,farthest left half of sandwich,116,150
